groupId,artifactId,version
org.onap.sdc.jtosca,jtosca,1.4.5
org.onap.sdc.sdc-distribution-client,sdc-distribution-client,1.3.0
org.onap.sdc.sdc-titan-cassandra,sdc-titan-cassandra,1.2.0
org.onap.sdc.sdc-tosca,sdc-tosca,1.4.63
org.onap.sdnc.northbound,generic-resource-api.provider,1.4.3
org.onap.sdnc.northbound,vnfapi-provider,1.4.3
org.onap.sdnc.northbound,vnftools-provider,1.4.3
org.onap.usecase-ui.server,usecase-ui-server,1.2.1
org.onap.vfc.gvnfm.vnflcm.lcm,vfc-gvnfm-vnflcm-lcm,1.2.1
org.onap.vfc.gvnfm.vnfmgr.mgr,vfc-gvnfm-vnfmgr-mgr,1.2.1
org.onap.vfc.gvnfm.vnfres.res,vfc-gvnfm-vnfres-res,1.2.1
org.onap.vfc.nfvo.catalog,vfc-nfvo-catalog,1.2.1
org.onap.vfc.nfvo.db,vfc-nfvo-db,1.2.1
org.onap.vfc.nfvo.driver.ems.ems,emsdriver-standalone,1.2.1
org.onap.vfc.nfvo.driver.sfc.zte.sfc-driver-standalone,vfc-nfvo-driver-sfc-zte-sfc-driver,1.2.0
org.onap.vfc.nfvo.driver.vnfm.gvnfm.gvnfmadapter,vfc-nfvo-driver-vnfm-gvnfm-gvnfmadapter,1.2.1
org.onap.vfc.nfvo.driver.vnfm.svnfm,vfcadaptor-deployment,1.1.0
org.onap.vfc.nfvo.driver.vnfm.svnfm.huawei.vnfmadapter,hw-vnfmadapter-deployment,1.2.1
org.onap.vfc.nfvo.driver.vnfm.svnfm.nokiav2,driverwar,1.2.1
org.onap.vfc.nfvo.driver.vnfm.svnfm.zte.vmanager,vfc-nfvo-driver-vnfm-svnfm-zte-vmanager,1.2.1
org.onap.vfc.nfvo.lcm,vfc-nfvo-lcm,1.2.1
org.onap.vfc.nfvo.multivimproxy,vfc-nfvo-multivimproxy-deployment,1.2.1
org.onap.vfc.nfvo.resmanagement,vfc-nfvo-resmanagement-deployment,1.2.1
org.onap.vfc.nfvo.wfengine,activiti-extension,1.2.0
org.onap.vnfsdk.refrepo,vnf-sdk-marketplace,1.1.2
org.onap.vnfsdk.refrepo,vnf-sdk-marketplace-core-parent,1.2.0
org.onap.vnfsdk.refrepo,vnf-sdk-marketplace-deployment,1.2.0
org.onap.vnfsdk.refrepo,vnfmarket,1.2.0
org.onap.vnfsdk.refrepo,vnfmarket-deployment,1.2.0
org.onap.vnfsdk.validation,csarvalidation-deployment,1.1.3
org.onap.vnfsdk.validation,validation,1.1.3
org.onap.vnfsdk.validation,validation-csar,1.1.3
org.onap.vnfsdk.ves-agent,evel_javalib2,1.1.0
org.openecomp.so,MSOCommonBPMN,1.2.2
org.openecomp.so,MSOCoreBPMN,1.2.2
org.openecomp.so,MSOInfrastructureBPMN,1.2.2
org.openecomp.so,MSORESTClient,1.2.2
org.openecomp.so,common,1.2.2
org.openecomp.so,mso-api-handler-common,1.2.2
org.openecomp.so,mso-catalog-db,1.2.2
org.openecomp.so,mso-requests-db,1.2.2
org.openecomp.so,status-control,1.2.2
org.openecomp.so.adapters,mso-adapter-utils,1.2.2
org.openecomp.so.adapters,mso-adapters-rest-interface,1.2.2
org.openecomp.so.adapters,mso-network-adapter-async-client,1.2.2
org.openecomp.so.adapters,mso-vnf-adapter-async-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,ceilometer-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,ceilometer-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk,glance-client,1.2.2
org.openecomp.so.libs.openstack-java-sdk,glance-model,1.2.2
org.openecomp.so.libs.openstack-java-sdk,heat-client,1.2.2
